Document ID,Female Variety,Male Variety,Source Date Text,Normalized Date,Date Status,Source Workbook,Source Sheet,Source Cell,Source Row,Source Column,Source Hash
cmb_e642046bafa7f2e01a228c937d84,Phil 93-1601,93-2349,"Oct. 16,2012",2026-10-16,ok,Cross combination.xlsx,Phil 93-1601,B3,3,2,4d4bcef7207049bd4dfc126a4afa2785aaafe44af0b7c7afece896042e231644
cmb_f49337c528049b3ffe38ed0ab565,Phil 93-1601,00-2569,"Oct. 16,2012",2026-10-16,ok,Cross combination.xlsx,Phil 93-1601,C3,3,3,e0aae23583f2096b041a92e1df4bee9879e01d2907acc80eae4f4b61e5e5044e
cmb_1b2a31d9fc4b616e1b726a4a0a65,Phil 93-1601,99-1793,"Oct. 23, 2013",2013-10-23,ok,Cross combination.xlsx,Phil 93-1601,B4,4,2,0293a76c8e8204d87f93bc83a014245bb22309cdf3ce330e19e1252f5546b48c
cmb_3988bc51a4fb53dab61f40b8f1f0,Phil 93-1601,93-2349,"Oct. 22, 2018",2018-10-22,ok,Cross combination.xlsx,Phil 93-1601,B5,5,2,eade43a290b910d5e4714ba3e73bbe415bf84910efc0b420036066e159df6d94
cmb_8f4a1d263346149fa378d178a3d5,B3337,92-0051,"Oct 30, 2013",2013-10-30,ok,Cross combination.xlsx,B3337,B3,3,2,41d1b6d4fc86733818b39c500491c15b0c193aabfb1ed42ac058b35f32448f89
cmb_c5f957f08ecdee4281503d3ded6f,B3337,99-1793,"Oct 30, 2013",2013-10-30,ok,Cross combination.xlsx,B3337,C3,3,3,9c4b2b2d71bf9917112a1165e1eefc47df1621cffe8a65bf900ac00fa13035e0
cmb_d5905f625fee7ec54c903b415829,B3337,04-1011,"Nov 6, 2015",2015-11-06,ok,Cross combination.xlsx,B3337,B4,4,2,2fc1553f4b4ba419278bb21815dfca93b3f2b288f1ced0768ca2ca2a7b102f61
cmb_49a1aea47f94a20a12244a1d8b56,B42-231,99-1793,"Oct 30, 2017",2017-10-30,ok,Cross combination.xlsx,B42-231,B3,3,2,10cdd27b482b75b150e4f4f6bb98298fc8e856c37a9050dac47390224b04fc46
cmb_d0e1fa0f2e9738cd06cc503f78ce,B50-414 (Waxier Type),99-1793,"Nov. 12, 2014",2014-11-12,ok,Cross combination.xlsx,B50-414 (Waxier Type),B3,3,2,0251ba84d33b03e4d0e4e1355985709db048ef49ca7b3ba203a920373494a046
cmb_1b2e2de6bb49aa7c49786bd97e6c,B50-414 (Waxier Type),04-1011,"Nov. 14, 2015",2015-11-14,ok,Cross combination.xlsx,B50-414 (Waxier Type),B4,4,2,6315f0202c264804fcd935ab5cfd2e9b6f28ec35f8133ee5cac6bbd2e31990a4
cmb_2824b992c0e2f53d63bb26ca0487,B50-414 (Waxier Type),93-2349,"Nov. 14, 2015",2015-11-14,ok,Cross combination.xlsx,B50-414 (Waxier Type),C4,4,3,8e494b542f25cea9f99a9f5ef42bd9cd70c55665a80fff91d6e8c25c2d302cb8
cmb_809caae8cfa60ec52a8e13407c67,B50-414 (Waxier Type),92-0751,"Nov. 09, 2016",2016-11-09,ok,Cross combination.xlsx,B50-414 (Waxier Type),B5,5,2,ddefb3d7be1e738f8f5341e00f62983d434d0d9b77820ad633dcea06a179b1ef
cmb_f7fff90b3f90c93b197973581fbc,Co 785,99-1793,"Nov. 01, 2013",2013-11-01,ok,Cross combination.xlsx,Co 785,B3,3,2,1c26628599827daca3d00404ccf01c2298e71d21ab987b390e82a4d95a66dedf
cmb_5ed5b92cf6b57f398dc795bb8436,Co 785,98-2137,"Oct. 26, 2016",2016-10-26,ok,Cross combination.xlsx,Co 785,B4,4,2,08f0c43fcc0cfb578d73e59a54576b8d217f768b0e63ea8e8bbf539eb447f929
cmb_23d6e5c6f5e9bb699475af837136,Co 785,91-0909,"Oct. 26, 2016",2016-10-26,ok,Cross combination.xlsx,Co 785,C4,4,3,f976662c58e2fc0d79138279954b662d42aa466f06eabe84297b738a4574fe53
cmb_9639bff342f66321f52f96f680a0,Co 785,93-2349,"Oct. 31, 2017",2017-10-31,ok,Cross combination.xlsx,Co 785,B5,5,2,8f465abd7f9c4d3eae357af58ebb4856708ca0897bd8c42e2963e555e7fc1be5
cmb_4f75fa235aac13199a8a0c2b8910,Co 785,04-1011,"Oct. 31, 2017",2017-10-31,ok,Cross combination.xlsx,Co 785,C5,5,3,07c0d548849605ebc80b755a1907db45865ab9382ea7a925ec8b4166698b35b1
